The Original Test Map!
########################################################################################################################
#                                                                                                                      #
#                                                                                                                      #
#                                                                                                                      #
#                                                                                                                      #
#    ########################    ######################################################    ########################    #
#    ########################    ######################################################    ########################    #
#    ########################    ######################################################    ########################    #
#    ########################    ######################################################    ########################    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#            ####    #################################    ####    #################################    ####            #
#            ####    ####                                                                      ####    ####            #
#            ####    ####                                                                      ####    ####            #
#            ####    ####                                                                      ####    ####            #
#    ####    ####    ####                                                                      ####    ####    ####    #
#    ####    ####    ####    ##############################################################    ####    ####    ####    #
#    ####    ####    ####    ##############################################################    ####    ####    ####    #
#    ####    ####    ####    ##############################################################    ####    ####    ####    #
#            ####    ####    ##############################################################    ####    ####            #
#            ####    ####    ##############################################################    ####    ####            #
#            ####    ####    ##############################################################    ####    ####            #
#            ####    ####    ##############################################################    ####    ####            #
#    ####    ####    ####    ##############################################################    ####    ####    ####    #
#    ####    ####    ####                         ####            ####                         ####    ####    ####    #
#    ####    ####    ####                         ####            ####                         ####    ####    ####    #
#    ####    ####    ####                         ####            ####                         ####    ####    ####    #
#    ####    ####    ####                         ####            ####                         ####    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####    ####    #################################    ####    #################################    ####    ####    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ####                                                                                                      ####    #
#    ############    ##############################################################################    ############    #
#    ############    ##############################################################################    ############    #
#    ############    ##############################################################################    ############    #
#    ############    ##############################################################################    ############    #
#                                                                                                                      #
#                                                                                                                      #
#                                                                                                                      #
########################################################################################################################

Slot Racers Map #1
#####################################################################################################################
#                                                                                                                   #
#                                                                                                                   #
#                                                                                                                   #
#                                                                                                                   #
#      ##############################      ###############################      ##############################      #
#      ##############################      ###############################      ##############################      #
#      ##############################      ###############################      ##############################      #
#      ##############################      ###############################      ##############################      #
#      ######                                                                                           ######      #
#      ######                                                                                           ######      #
#      ######                                                                                           ######      #
#      ######                                                                                           ######      #
#      ######      ######      ##################      #######      ##################      ######      ######      #
#      ######      ######      ##################      #######      ##################      ######      ######      #
#      ######      ######      ##################      #######      ##################      ######      ######      #
#      ######      ######      ##################      #######      ##################      ######      ######      #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#      ######      ######      ######      ###############################      ######      ######      ######      #
#      ######      ######      ######      ###############################      ######      ######      ######      #
#      ######      ######      ######      ###############################      ######      ######      ######      #
#      ######      ######      ######      ###############################      ######      ######      ######      #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#                  ######      ######                                           ######      ######                  #
#      ######      ######      ##################      #######      ##################      ######      ######      #
